Net generation for all sectors,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=9&geo=g&sec=g&linechart=ELEC.GEN.COW-US-99.A&columnchart=ELEC.GEN.COW-US-99.A&map=ELEC.GEN.COW-US-99.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,
Sat Jan 30 2021 22:33:23 GMT+0800 (ä¸_____¶é_),,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,
United States : all fuels (utility-scale),,ELEC.GEN.ALL-US-99.A,,,,,,,,,,,,,,,,,,,
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-99.A,1903956,1933130,1973737,1978301,2012873,1990511,2016456,1985801,1755904,1847290,1733430,1514043,1581115,1581710,1352398,1239149,1205835,1149487,964957
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-99.A,639129,691006,649908,710100,760960,816441,896590,882981,920979,987697,1013689,1225894,1124836,1126609,1333482,1378307,1296442,1469133,1585717
