description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States : all coal,40.69,43.33,44.27,46.24,45.77,45.02,45.67,42.6,40.64,39.18,39.16,38.64
United States : lignite,18.28,20.37,20.97,21.14,23.29,23.21,23.17,24.98,22.68,21.56,22.05,21.61
United States : anthracite,58.02,,59.5,51.6,64.36,60.28,,44.09,57.49,,86.16,57.84
United States : subbituminous,27.99,28.42,30.06,33.11,34.32,34.9,35.92,33.74,33.04,33.09,33.18,32.45
United States : bituminous,59.57,65.51,67.09,69.52,68.06,64.82,64.37,60.32,56.11,54.28,54.06,53.05
United States : waste coal,17.53,18.01,19.52,20.97,17.09,24.21,19.34,20.14,17.32,15.67,16.84,15.72
