description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States : all coal,1045656971,959939662,956679032,932647859,827785944,810343647,841327838,770688999,631775188,634270277,589207590,554774146
United States : lignite,68941467,64962781,70929366,75357249,71847878,71190525,71534339,65826231,63744759,59664906,52438250,46780775
United States : anthracite,21933,,14500,92548,3172,2741,,4905,722544,,10699,12731
United States : subbituminous,516184369,477479941,484318833,480027413,438150420,424927232,435574694,416976302,326408673,346601720,326276684,305644506
United States : bituminous,446199471,403899288,388162217,365074672,308739077,304488523,325480439,281170621,237806974,220384234,202461163,196008819
United States : waste coal,13950041,13597652,13254116,12095977,9045397,9734626,8738366,6710940,3092238,7619417,8020794,6327315
